timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661285780345,1036,Search items,200,OK,Thread Group 1-45,text,true,,293,206,50,50,http://localhost:6060/search,1036,0,0
1661285780347,1035,Search items,200,OK,Thread Group 1-6,text,true,,293,206,50,50,http://localhost:6060/search,1035,0,0
1661285780628,771,Search items,200,OK,Thread Group 1-7,text,true,,293,206,50,50,http://localhost:6060/search,771,0,0
1661285780652,755,Add item to cart,200,OK,Thread Group 1-22,text,true,,282,209,50,50,http://localhost:6060/cart/item,755,0,0
1661285778524,2902,Checkout,200,OK,Thread Group 1-10,text,true,,277,208,50,50,http://localhost:6060/checkout,2902,0,0
1661285780092,1391,Home page,200,OK,Thread Group 1-19,text,true,,239,116,50,50,http://localhost:6060/,1391,0,1
1661285777518,4025,Checkout,200,OK,Thread Group 1-27,text,true,,277,208,50,50,http://localhost:6060/checkout,4025,0,0
1661285777268,4276,Checkout,200,OK,Thread Group 1-25,text,true,,277,208,50,50,http://localhost:6060/checkout,4276,0,0
1661285780089,1510,Add item to cart,200,OK,Thread Group 1-1,text,true,,282,209,50,50,http://localhost:6060/cart/item,1510,0,0
1661285779921,1704,Add item to cart,200,OK,Thread Group 1-36,text,true,,282,209,50,50,http://localhost:6060/cart/item,1704,0,0
1661285780510,1174,Login,200,OK,Thread Group 1-28,text,true,,291,205,50,50,http://localhost:6060/login,1174,0,0
1661285777275,4410,Checkout,200,OK,Thread Group 1-41,text,true,,277,208,50,50,http://localhost:6060/checkout,4410,0,0
1661285777804,3921,Checkout,200,OK,Thread Group 1-42,text,true,,277,208,50,50,http://localhost:6060/checkout,3921,0,0
1661285779545,2237,Checkout,200,OK,Thread Group 1-23,text,true,,277,208,50,50,http://localhost:6060/checkout,2237,0,0
1661285778557,3239,Checkout,200,OK,Thread Group 1-48,text,true,,277,208,50,50,http://localhost:6060/checkout,3239,0,0
1661285778714,3085,Login,200,OK,Thread Group 1-34,text,true,,291,205,50,50,http://localhost:6060/login,3085,0,0
1661285778697,3160,Checkout,200,OK,Thread Group 1-46,text,true,,277,208,50,50,http://localhost:6060/checkout,3160,0,0
1661285781004,858,Add item to cart,200,OK,Thread Group 1-12,text,true,,282,209,50,50,http://localhost:6060/cart/item,858,0,0
1661285777858,4020,Checkout,200,OK,Thread Group 1-29,text,true,,277,208,50,50,http://localhost:6060/checkout,4020,0,0
1661285780863,1039,Home page,200,OK,Thread Group 1-38,text,true,,239,116,50,50,http://localhost:6060/,1039,0,0
1661285780934,973,Home page,200,OK,Thread Group 1-43,text,true,,239,116,50,50,http://localhost:6060/,973,0,0
1661285780994,913,Home page,200,OK,Thread Group 1-31,text,true,,239,116,50,50,http://localhost:6060/,913,0,1
1661285779209,2804,Login,200,OK,Thread Group 1-16,text,true,,291,205,50,50,http://localhost:6060/login,2804,0,0
1661285777657,4369,Checkout,200,OK,Thread Group 1-20,text,true,,277,208,50,50,http://localhost:6060/checkout,4369,0,0
1661285779868,2165,Search items,200,OK,Thread Group 1-39,text,true,,293,206,50,50,http://localhost:6060/search,2165,0,0
1661285780567,1535,Checkout,200,OK,Thread Group 1-9,text,true,,277,208,50,50,http://localhost:6060/checkout,1535,0,0
1661285780468,1640,Checkout,200,OK,Thread Group 1-26,text,true,,277,208,50,50,http://localhost:6060/checkout,1640,0,0
1661285781118,1001,Add item to cart,200,OK,Thread Group 1-44,text,true,,282,209,50,50,http://localhost:6060/cart/item,1001,0,0
1661285781543,625,Home page,200,OK,Thread Group 1-25,text,true,,239,116,50,50,http://localhost:6060/,625,0,0
1661285780060,2114,Login,200,OK,Thread Group 1-21,text,true,,291,205,50,50,http://localhost:6060/login,2114,0,0
